variant,orderDate,orderTime,previously_tried_greenies,preferred_retailer,audience
TEENIE,2026-05-01,08:00:00,Yes,Walmart,facebook
TEENIE,2026-05-01,09:03:00,No,PetSmart,instagram
TEENIE,2026-05-01,10:06:00,Yes,Chewy,google
TEENIE,2026-05-01,11:09:00,No,Amazon,email
TEENIE,2026-05-01,12:12:00,Yes,Target,facebook
TEENIE,2026-05-01,13:15:00,No,Walmart,instagram
TEENIE,2026-05-01,14:18:00,Yes,PetSmart,google
TEENIE,2026-05-01,15:21:00,No,Chewy,email
TEENIE,2026-05-01,16:24:00,Yes,Amazon,facebook
TEENIE,2026-05-01,17:27:00,No,Target,instagram
TEENIE,2026-05-01,18:30:00,Yes,Walmart,google
TEENIE,2026-05-01,19:33:00,No,PetSmart,email
TEENIE,2026-05-01,08:36:00,Yes,Chewy,facebook
TEENIE,2026-05-01,09:39:00,No,Amazon,instagram
TEENIE,2026-05-01,10:42:00,Yes,Target,google
TEENIE,2026-05-01,11:45:00,No,Walmart,email
TEENIE,2026-05-01,12:48:00,Yes,PetSmart,facebook
TEENIE,2026-05-01,13:51:00,No,Chewy,instagram
TEENIE,2026-05-01,14:54:00,Yes,Amazon,google
TEENIE,2026-05-01,15:57:00,No,Target,email
TEENIE,2026-05-01,16:00:00,Yes,Walmart,facebook
TEENIE,2026-05-01,17:03:00,No,PetSmart,instagram
TEENIE,2026-05-01,18:06:00,Yes,Chewy,google
TEENIE,2026-05-01,19:09:00,No,Amazon,email
TEENIE,2026-05-01,08:12:00,Yes,Target,facebook
TEENIE,2026-05-01,09:15:00,No,Walmart,instagram
TEENIE,2026-05-01,10:18:00,Yes,PetSmart,google
TEENIE,2026-05-01,11:21:00,No,Chewy,email
TEENIE,2026-05-01,12:24:00,Yes,Amazon,facebook
TEENIE,2026-05-01,13:27:00,No,Target,instagram
TEENIE,2026-05-01,14:30:00,Yes,Walmart,google
TEENIE,2026-05-01,15:33:00,No,PetSmart,email
TEENIE,2026-05-01,16:36:00,Yes,Chewy,facebook
TEENIE,2026-05-01,17:39:00,No,Amazon,instagram
TEENIE,2026-05-01,18:42:00,Yes,Target,google
TEENIE,2026-05-01,19:45:00,No,Walmart,email
TEENIE,2026-05-01,08:48:00,Yes,PetSmart,facebook
TEENIE,2026-05-01,09:51:00,No,Chewy,instagram
TEENIE,2026-05-01,10:54:00,Yes,Amazon,google
TEENIE,2026-05-01,11:57:00,No,Target,email
TEENIE,2026-05-01,12:00:00,Yes,Walmart,facebook
TEENIE,2026-05-01,13:03:00,No,PetSmart,instagram
TEENIE,2026-05-01,14:06:00,Yes,Chewy,google
TEENIE,2026-05-01,15:09:00,No,Amazon,email
TEENIE,2026-05-01,16:12:00,Yes,Target,facebook
TEENIE,2026-05-01,17:15:00,No,Walmart,instagram
TEENIE,2026-05-01,18:18:00,Yes,PetSmart,google
TEENIE,2026-05-01,19:21:00,No,Chewy,email
TEENIE,2026-05-01,08:24:00,Yes,Amazon,facebook
TEENIE,2026-05-01,09:27:00,No,Target,instagram
TEENIE,2026-05-01,10:30:00,Yes,Walmart,google
TEENIE,2026-05-01,11:33:00,No,PetSmart,email
TEENIE,2026-05-01,12:36:00,Yes,Chewy,facebook
TEENIE,2026-05-01,13:39:00,No,Amazon,instagram
TEENIE,2026-05-01,14:42:00,Yes,Target,google
TEENIE,2026-05-01,15:45:00,No,Walmart,email
TEENIE,2026-05-01,16:48:00,Yes,PetSmart,facebook
TEENIE,2026-05-01,17:51:00,No,Chewy,instagram
TEENIE,2026-05-01,18:54:00,Yes,Amazon,google
TEENIE,2026-05-01,19:57:00,No,Target,email
TEENIE,2026-05-01,08:00:00,Yes,Walmart,facebook
TEENIE,2026-05-01,09:03:00,No,PetSmart,instagram
TEENIE,2026-05-01,10:06:00,Yes,Chewy,google
TEENIE,2026-05-01,11:09:00,No,Amazon,email
TEENIE,2026-05-01,12:12:00,Yes,Target,facebook
TEENIE,2026-05-01,13:15:00,No,Walmart,instagram
TEENIE,2026-05-01,14:18:00,Yes,PetSmart,google
TEENIE,2026-05-01,15:21:00,No,Chewy,email
TEENIE,2026-05-01,16:24:00,Yes,Amazon,facebook
TEENIE,2026-05-01,17:27:00,No,Target,instagram
TEENIE,2026-05-01,18:30:00,Yes,Walmart,google
TEENIE,2026-05-01,19:33:00,No,PetSmart,email
TEENIE,2026-05-01,08:36:00,Yes,Chewy,facebook
TEENIE,2026-05-01,09:39:00,No,Amazon,instagram
TEENIE,2026-05-01,10:42:00,Yes,Target,google
TEENIE,2026-05-01,11:45:00,No,Walmart,email
TEENIE,2026-05-01,12:48:00,Yes,PetSmart,facebook
TEENIE,2026-05-01,13:51:00,No,Chewy,instagram
TEENIE,2026-05-01,14:54:00,Yes,Amazon,google
TEENIE,2026-05-01,15:57:00,No,Target,email
TEENIE,2026-05-01,16:00:00,Yes,Walmart,facebook
TEENIE,2026-05-01,17:03:00,No,PetSmart,instagram
TEENIE,2026-05-01,18:06:00,Yes,Chewy,google
TEENIE,2026-05-01,19:09:00,No,Amazon,email
TEENIE,2026-05-01,08:12:00,Yes,Target,facebook
TEENIE,2026-05-01,09:15:00,No,Walmart,instagram
TEENIE,2026-05-01,10:18:00,Yes,PetSmart,google
TEENIE,2026-05-01,11:21:00,No,Chewy,email
TEENIE,2026-05-01,12:24:00,Yes,Amazon,facebook
TEENIE,2026-05-01,13:27:00,No,Target,instagram
TEENIE,2026-05-01,14:30:00,Yes,Walmart,google
TEENIE,2026-05-01,15:33:00,No,PetSmart,email
TEENIE,2026-05-01,16:36:00,Yes,Chewy,facebook
TEENIE,2026-05-01,17:39:00,No,Amazon,instagram
TEENIE,2026-05-01,18:42:00,Yes,Target,google
TEENIE,2026-05-01,19:45:00,No,Walmart,email
TEENIE,2026-05-01,08:48:00,Yes,PetSmart,facebook
TEENIE,2026-05-01,09:51:00,No,Chewy,instagram
TEENIE,2026-05-01,10:54:00,Yes,Amazon,google
TEENIE,2026-05-01,11:57:00,No,Target,email
TEENIE,2026-05-01,12:00:00,Yes,Walmart,facebook
TEENIE,2026-05-01,13:03:00,No,PetSmart,instagram
TEENIE,2026-05-01,14:06:00,Yes,Chewy,google
TEENIE,2026-05-01,15:09:00,No,Amazon,email
TEENIE,2026-05-01,16:12:00,Yes,Target,facebook
TEENIE,2026-05-01,17:15:00,No,Walmart,instagram
TEENIE,2026-05-01,18:18:00,Yes,PetSmart,google
TEENIE,2026-05-01,19:21:00,No,Chewy,email
Petite,2026-05-01,08:00:00,Yes,Walmart,facebook
Petite,2026-05-01,09:03:00,No,PetSmart,instagram
